"作物名称","类别","代表品种","适宜温度范围","适宜土壤类型","适宜pH范围","生长周期(天)","需水量","光照要求","主要病害","适宜播种季节","耐寒性","耐旱性","地域适配","亩产参考"
"柑橘","水果","温州蜜柑、纽荷尔脐橙","17-29°C","红壤、黄壤","5.5-6.5","多年生","高","充足","黄龙病、溃疡病、红蜘蛛","春季(定植)","低","中","南方为主","3000-5000公斤"
"荔枝","水果","妃子笑、桂味、糯米糍","23-29°C","红壤、砖红壤","5.0-6.0","多年生","高","充足","霜疫霉病、炭疽病、蒂蛀虫","春季(定植)","低","低","南方为主","1000-2000公斤"
"葡萄","水果","巨峰、阳光玫瑰、夏黑","18-28°C","壤土、沙壤土","6.0-7.0","多年生","中","充足","霜霉病、白粉病、灰霉病","春季(定植)","中","中","北方为主","2000-3000公斤"
"苹果","水果","红富士、嘎拉","12-25°C","壤土、沙壤土","6.0-7.5","多年生","中","充足","轮纹病、炭疽病、腐烂病","春季(定植)","高","中","北方为主","3000-5000公斤"
"梨","水果","鸭梨、翠冠、黄金梨","15-25°C","壤土","6.0-7.5","多年生","中","充足","黑星病、轮纹病、梨木虱","春季(定植)","高","中","北方为主","3000-5000公斤"
"桃","水果","水蜜桃、黄桃","18-28°C","沙壤土、壤土","6.0-7.0","多年生","中","充足","褐腐病、穿孔病、蚜虫","春季(定植)","中","中","全国通用","2000-3000公斤"
"香蕉","水果","巴西蕉、粉蕉","24-32°C","壤土、冲积土","5.5-6.5","多年生(12-15个月)","高","充足","枯萎病、叶斑病","春季","低","低","南方为主","3000-5000公斤"
"芒果","水果","台农1号、贵妃芒","24-30°C","沙壤土、红壤","5.5-7.0","多年生","中","充足","炭疽病、白粉病、蒂腐病","春季","低","中","南方为主","1000-2000公斤"
"猕猴桃","水果","徐香、红阳、翠香","15-25°C","壤土、沙壤土","5.5-6.5","多年生","高","中等","溃疡病、褐斑病、根腐病","春季(定植)","中","中","全国通用","1500-2500公斤"
"花生","经济作物","鲁花9号、豫花9326","25-30°C","沙壤土","6.0-6.5","100-150","中","充足","叶斑病、锈病、青枯病","春季、夏季","低","中","全国通用","250-400公斤(荚果)"
"棉花","经济作物","中棉所41、新陆中82","25-30°C","壤土、沙壤土","6.0-8.0","180-200","中","充足","枯萎病、黄萎病、棉铃虫","春季","低","高","北方为主","250-400公斤(籽棉)"
"油菜","经济作物","秦优7号、中油杂19","15-22°C","壤土","6.0-7.0","180-240","中","充足","菌核病、霜霉病、蚜虫","秋季、春季","高","中","南方为主","150-250公斤"
"甘蔗","经济作物","新台糖22号","25-32°C","壤土、冲积土","6.0-7.0","270-360","高","充足","黑穗病、凤梨病、螟虫","春季","低","中","南方为主","5000-7000公斤"
"烟草","经济作物","云烟87、K326","20-28°C","沙壤土、壤土","5.5-6.5","120-150","中","充足","花叶病、黑胫病、青枯病","春季","低","中","南方为主","150-250公斤(干烟叶)"
"茶叶","经济作物","龙井43、福鼎大白茶","18-25°C","红壤、黄壤","4.5-5.5","多年生","高","中等","茶饼病、炭疽病、茶小绿叶蝉","春季","中","中","南方为主","50-100公斤(干茶)"
"向日葵","经济作物","食葵363、油葵562","20-30°C","壤土、沙壤土","6.0-8.0","90-120","低","充足","菌核病、锈病、列当","春季、夏季","中","高","北方为主","200-300公斤"
"南瓜","蔬菜","蜜本南瓜、贝贝南瓜","18-28°C","壤土、沙壤土","5.5-7.0","90-110","中","充足","白粉病、霜霉病、蚜虫","春季","低","中","全国通用","2500-4000公斤"
"冬瓜","蔬菜","黑皮冬瓜、粉皮冬瓜","22-30°C","壤土、沙壤土","5.5-7.0","100-130","高","充足","疫病、炭疽病、瓜绢螟","春季","低","低","全国通用","4000-7000公斤"
"韭菜","蔬菜","汉中冬韭、平韭系列","12-25°C","壤土、沙壤土","6.0-7.5","250-300","中","中等","灰霉病、疫病、韭蛆","春季、秋季","高","中","全国通用","2000-3500公斤"
"甘蓝","蔬菜","京丰一号、中甘21","15-22°C","壤土、黏壤土","6.0-7.0","70-90","中","中等","黑腐病、霜霉病、菜青虫","春季、秋季","中","中","全国通用","4000-6000公斤"
"樱桃","水果","红灯、美早","12-24°C","沙壤土、壤土","6.0-7.5","多年生","中","充足","流胶病、穿孔病、红蜘蛛","春季(定植)","高","中","北方为主","1000-2000公斤"
"枣","水果","冬枣、金丝小枣","15-28°C","沙壤土、壤土","6.0-8.0","多年生","低","充足","枣锈病、炭疽病、枣瘿蚊","春季(定植)","高","高","北方为主","1500-2500公斤"
"柿子","水果","磨盘柿、甜柿阳丰","13-26°C","壤土、沙壤土","6.0-7.5","多年生","中","充足","圆斑病、炭疽病、柿蒂虫","春季(定植)","高","中","北方为主","2000-3000公斤"
"李子","水果","黑布林、脆红李","15-27°C","沙壤土、壤土","6.0-7.0","多年生","中","充足","穿孔病、褐腐病、蚜虫","春季(定植)","中","中","全国通用","1500-2500公斤"
"石榴","水果","突尼斯软籽、大红袍","15-28°C","沙壤土","6.0-7.5","多年生","低","充足","干腐病、褐斑病、桃蛀螟","春季(定植)","高","高","北方、南方均可","1000-2000公斤"
"蓝莓","水果","蓝丰、薄雾","15-26°C","沙壤土、酸性土","4.0-5.5","多年生","中","中等","根腐病、灰霉病、蚜虫","春季(定植)","中","低","南北均可，喜酸性土","800-1500公斤"
"百香果","水果","台农一号、紫香一号","20-30°C","壤土、沙壤土","5.5-6.5","多年生","中","充足","茎基腐病、炭疽病、蚜虫","春季(定植)","低","中","南方为主","1500-2500公斤"
"绿豆","粮食作物","中绿系列","20-28°C","壤土、沙壤土","6.0-7.0","80-100","中","充足","叶斑病、根腐病、豆荚螟","春季、夏季","中","高","全国通用","100-150公斤"
"芝麻","经济作物","豫芝、中芝系列","22-30°C","沙壤土","6.0-7.5","85-110","低","充足","茎点枯病、叶斑病、蚜虫","春季、夏季","低","高","全国通用","80-120公斤"
